index,axis-0,axis-1,axis-2,sigma
0.0,0.0,163.0,312.0,10.0
1.0,0.0,155.0,225.0,10.0
2.0,0.0,0.0,397.0,16.0
3.0,0.0,193.0,446.0,10.0
4.0,0.0,71.0,321.0,10.0
5.0,0.0,143.0,393.0,10.0
6.0,0.0,241.0,376.0,10.0
7.0,0.0,80.0,43.0,10.0
8.0,0.0,279.0,287.0,10.0
9.0,0.0,408.0,449.0,16.0
10.0,0.0,510.0,503.0,16.0
11.0,0.0,390.0,220.0,10.0
12.0,0.0,510.0,237.0,16.0
13.0,0.0,376.0,510.0,10.0
14.0,0.0,510.0,352.0,25.600000000000005
15.0,1.0,165.0,311.0,10.0
16.0,1.0,157.0,223.0,10.0
17.0,1.0,0.0,398.0,16.0
18.0,1.0,192.0,447.0,10.0
19.0,1.0,70.0,323.0,10.0
20.0,1.0,144.0,393.0,10.0
21.0,1.0,243.0,376.0,10.0
22.0,1.0,76.0,44.0,10.0
23.0,1.0,280.0,285.0,10.0
24.0,1.0,510.0,489.0,10.0
25.0,1.0,409.0,448.0,16.0
26.0,1.0,488.0,354.0,10.0
27.0,1.0,391.0,220.0,10.0
28.0,1.0,510.0,237.0,16.0
29.0,1.0,377.0,510.0,10.0
30.0,2.0,165.0,311.0,10.0
31.0,2.0,161.0,219.0,10.0
32.0,2.0,193.0,448.0,10.0
33.0,2.0,145.0,393.0,10.0
34.0,2.0,0.0,398.0,16.0
35.0,2.0,69.0,322.0,10.0
36.0,2.0,245.0,375.0,10.0
37.0,2.0,74.0,46.0,10.0
38.0,2.0,281.0,284.0,10.0
39.0,2.0,510.0,489.0,10.0
40.0,2.0,408.0,448.0,16.0
41.0,2.0,490.0,354.0,10.0
42.0,2.0,391.0,220.0,10.0
43.0,2.0,510.0,236.0,16.0
44.0,2.0,379.0,510.0,10.0
45.0,3.0,163.0,311.0,10.0
46.0,3.0,194.0,446.0,10.0
47.0,3.0,163.0,218.0,10.0
48.0,3.0,245.0,375.0,10.0
49.0,3.0,0.0,398.0,16.0
50.0,3.0,144.0,392.0,10.0
51.0,3.0,68.0,321.0,10.0
52.0,3.0,280.0,282.0,10.0
53.0,3.0,67.0,51.0,16.0
