index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,281.7883314379035,2.4290627961556623
0,polygon,1,190.53679035827705,397.8524074745371
0,polygon,2,141.531333111811,793.2757521529185
0,polygon,3,134.77195969850536,1019.7147614986583
0,polygon,4,166.8789834117073,1273.1912644976208
0,polygon,5,200.67585047823562,1274.8811078509473
0,polygon,6,200.6758504782356,1121.1053626982434
0,polygon,7,188.8469470049507,1051.8217852118603
0,polygon,8,212.5047539515205,953.8108707189281
0,polygon,9,195.60632041825633,849.0405828126902
0,polygon,10,222.64381407147897,735.8210781398203
0,polygon,11,220.95397071815256,631.0507902335825
0,polygon,12,258.13052449133374,546.5586225672618
0,polygon,13,266.5797412579658,406.3016242411691
0,polygon,14,315.58519850443184,239.00713226185397
0,polygon,15,364.5906557508979,86.9212304624765
0,polygon,16,386.55861934414133,56.50405010260099
0,polygon,17,381.48908928416205,-0.9506239104971712
1,path,0,471.0507870104621,4.118906149482079
1,path,1,462.60157024383005,51.434520042621735
1,path,2,552.1632679701302,63.263423515906645
1,path,3,538.6445211435189,164.65402471549163
1,path,4,445.7031367105659,119.0282541756784
1,path,5,413.59611299736395,162.96418136216522
1,path,6,479.50000377709426,345.46726352141815
1,path,7,449.0828234172188,358.9860103480295
1,path,8,393.31799275744703,333.6383600481332
1,path,9,342.62269215765457,402.9219375345163
1,path,10,367.97034245755077,507.6922254407541
1,path,11,352.761752277613,541.4890925072824
1,path,12,405.14689623073195,583.7351763404429
1,path,13,384.8687759908149,644.5695370601939
1,path,14,303.756295031147,625.9812601736032
1,path,15,283.47817479122995,693.57499430666
1,path,16,405.14689623073195,762.858571793043
1,path,17,388.2484626974678,818.6234024528147
1,path,18,318.9648852110847,771.307788559675
1,path,19,268.2695846112922,772.9976319130014
1,path,20,251.37115107802805,811.8640290395091
1,path,21,293.61723491118846,936.9124371856639
1,path,22,342.62269215765457,990.9874244921092
1,path,23,391.6281494041206,1001.1264846120677
1,path,24,405.14689623073195,1038.303038385249
1,path,25,391.6281494041207,1083.9288089250622
1,path,26,295.30707826451487,1041.6827250919018
1,path,27,254.7508377846809,1060.2710019784924
1,path,28,285.16801814455647,1159.971759824751
1,path,29,406.8367395840584,1188.6990968313
1,path,30,362.9008123975716,1214.0467471311963
1,path,31,268.26958461129226,1215.7365904845226
1,path,32,276.71880137792436,1251.2233009043773
1,path,33,342.6226921576546,1279.9506379109264
